2024-08-31 12:25:50.215 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:52.959 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:52.972 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:53.390 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:53.854 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:55.838 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:55.899 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:56.617 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:57.215 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:58.966 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:58.967 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:58.967 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:59.573 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:25:59.747 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:00.949 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:00.949 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:02.029 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:02.552 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:03.200 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:04.326 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:04.985 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:06.667 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:07.217 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:07.308 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:08.002 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:10.430 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:10.430 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:10.435 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:10.691 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:12.212 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:13.867 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:15.336 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:15.430 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:16.195 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:16.820 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:16.820 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:18.385 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:18.572 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:18.573 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:19.272 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:20.513 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:21.280 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:21.563 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:22.253 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:23.694 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:24.561 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:24.561 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:24.957 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:27.349 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:27.775 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:28.073 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:28.314 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:30.784 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:31.083 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:31.193 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:31.240 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:33.950 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:33.951 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:34.350 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:35.773 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:36.519 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:36.519 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:37.061 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:37.377 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:39.435 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:40.410 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:42.051 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:42.052 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:42.409 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:42.459 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:43.352 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:43.352 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:45.539 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:45.585 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:46.680 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:48.525 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:48.621 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:49.064 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:50.502 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:51.432 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:51.433 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:51.723 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:52.024 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:53.349 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:54.434 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:54.730 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:55.136 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:56.308 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:57.358 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:58.206 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:58.974 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:26:59.424 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:00.567 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:01.903 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:01.904 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:02.691 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:02.746 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:04.341 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:04.342 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:05.158 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:05.893 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:05.955 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:27:08.142 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
